Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2012,CHL,CHARLESTON SC ,"3,616","3,073",230,"1,633","1,557","1,075",78,508,"5,173","4,456","2,141"
,,,,,,,,,,,,,
2012,CHR,CHRISTIANSTED VI ,266,204,24,102,2, -   , -   ,3,268,228,105
,,,,,,,,,,,,,
2012,CHS,CHARLESTON WV, -   , -   ,18,7, -   , -   , -   , -   , -   ,18,7
,,,,,,,,,,,,,
2012,CIN,CINCINNATI OH ,"2,814","2,564",168,834,10,18, -   ,4,"2,824","2,750",838
,,,,,,,,,,,,,
2012,CLE,CLEVELAND OH ,"3,945","3,656",254,"1,213",18,14,1,6,"3,963","3,925","1,219"
,,,,,,,,,,,,,
2012,CLM,COLUMBUS OH,"4,376","4,040",270,"1,314",9,3, -   ,1,"4,385","4,313","1,315"
,,,,,,,,,,,,,
2012,CLT,CHARLOTTE NC ,"7,011","5,942",400,"2,872",21,14,2,5,"7,032","6,358","2,877"
,,,,,,,,,,,,,
2012,CVC,CHULA VISTA CA,"7,577","6,489",366,"3,025",64,142,1,24,"7,641","6,998","3,049"
,,,,,,,,,,,,,
2012,DAL,DALLAS TX ,"21,954","19,299","1,505","8,063",105,114,11,30,"22,059","20,929","8,093"
,,,,,,,,,,,,,
2012,DEN,DENVER CO ,"8,684","8,131",845,"2,766",92,130,5,40,"8,776","9,111","2,806"
,,,,,,,,,,,,,
2012,DET,DETROIT MI ,"13,303","11,379","1,696","5,684",28,23,1,17,"13,331","13,099","5,701"
,,,,,,,,,,,,,
2012,DSM,DES MOINES IA,"2,184","2,009",208,958,5,5,1,1,"2,189","2,223",959
,,,,,,,,,,,,,
2012,DVD,DOVER DE AFB , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
